,ensembl_gene_id,id,DL_OR
119,ENSMUSG00000054054,Olfr309,OR13G1
120,ENSMUSG00000075127,Olfr1179,OR4P18
121,ENSMUSG00000075163,Olfr1107,OR5AQ1B
122,ENSMUSG00000075222,Olfr988,OR5AK20
123,ENSMUSG00000049098,Olfr147,OR8B3
124,ENSMUSG00000051340,Olfr645,OR51A24
125,ENSMUSG00000067522,Olfr76,OR5A1
126,ENSMUSG00000059488,Olfr727,OR4K15
127,ENSMUSG00000047511,Olfr1396,OR2V2
128,ENSMUSG00000059189,Olfr913,OR8B49
129,ENSMUSG00000064223,Olfr694,OR2AG1B
130,ENSMUSG00000107662,Olfr772,OR6C203
131,ENSMUSG00000068815,Olfr1143,OR5W18
132,ENSMUSG00000073111,Olfr446,OR2A12
133,ENSMUSG00000074996,Olfr199,OR5AC17
134,ENSMUSG00000095189,Olfr1472,OR5B117
135,ENSMUSG00000044985,Olfr124,OR2B4
136,ENSMUSG00000044801,Olfr159,OR13C7D
137,ENSMUSG00000059729,Olfr1385,OR2Y1
138,ENSMUSG00000096477,Olfr92,OR2H2C
139,ENSMUSG00000111273,Olfr789,OR6C7
140,ENSMUSG00000068808,Olfr1189,OR4C102
141,ENSMUSG00000075377,Olfr362,OR1B1
142,ENSMUSG00000107417,Olfr1383,OR2Y13
143,ENSMUSG00000062103,Olfr924,OR8D2
144,ENSMUSG00000071481,Olfr437,OR2A52
145,ENSMUSG00000075136,Olfr1164,OR5D37
146,ENSMUSG00000073959,Olfr584,OR52R1C
147,ENSMUSG00000057997,Olfr541,OR13A26
148,ENSMUSG00000075139,Olfr1162,OR5D14
149,ENSMUSG00000094133,Olfr1431,OR5AN9
150,ENSMUSG00000075167,Olfr1101,OR5T16
151,ENSMUSG00000046493,Olfr1352,OR7A36
152,ENSMUSG00000070375,Olfr406,OR1P1C
153,ENSMUSG00000090824,Olfr1344,OR2BD2
154,ENSMUSG00000073977,Olfr549,OR52B3
155,ENSMUSG00000109547,Olfr1294,OR4K44
156,ENSMUSG00000095928,Olfr204,OR5AC22
157,ENSMUSG00000043314,Olfr30,OR2Z2
158,ENSMUSG00000039962,Olfr906,OR8B1
159,ENSMUSG00000043855,Olfr479,OR10AB4
160,ENSMUSG00000073925,Olfr654,OR52U1
161,ENSMUSG00000045148,Olfr1255,OR4C12B
162,ENSMUSG00000044899,Olfr649,OR52H2
163,ENSMUSG00000057179,Olfr747,OR11H4B
164,ENSMUSG00000073923,Olfr657,OR56B1
165,ENSMUSG00000043310,Olfr571,OR51S1
166,ENSMUSG00000096806,Olfr312,OR5AF1
167,ENSMUSG00000060918,Olfr51,OR1AD8
168,ENSMUSG00000096365,Olfr1463,OR5B109
169,ENSMUSG00000047702,Olfr1388,OR2Y16
170,ENSMUSG00000075100,Olfr1223,OR4C118
171,ENSMUSG00000095774,Olfr970,OR8G37
172,ENSMUSG00000096858,Olfr805,OR6C212
173,ENSMUSG00000068806,Olfr1259,OR4C12
174,ENSMUSG00000078080,Olfr585,OR51F1E
175,ENSMUSG00000044061,Olfr225,OR2W25
176,ENSMUSG00000073961,Olfr582,OR52R1B
177,ENSMUSG00000020168,Olfr299,OR14C43
178,ENSMUSG00000096485,Olfr1466,OR5B112
179,ENSMUSG00000073949,Olfr606,OR51L14
180,ENSMUSG00000082980,Olfr1274,OR4X13
181,ENSMUSG00000068809,Olfr1188,OR4C101
182,ENSMUSG00000070374,Olfr59,OR1P1
183,ENSMUSG00000043119,Olfr448,OR2A5
184,ENSMUSG00000045792,Olfr578,OR51G1
185,ENSMUSG00000068818,Olfr1132,OR8W1
186,ENSMUSG00000073920,Olfr661,OR56B2
187,ENSMUSG00000045392,Olfr1033,OR5M3B
188,ENSMUSG00000042894,Olfr1260,OR4C35
189,ENSMUSG00000045780,Olfr624,OR51V8
190,ENSMUSG00000059279,Olfr224,OR2T43
191,ENSMUSG00000095667,Olfr854,OR7G34
192,ENSMUSG00000075159,Olfr1110,OR5AQ1
193,ENSMUSG00000075110,Olfr1214,OR4C109
194,ENSMUSG00000045540,Olfr600,OR52AD1
195,ENSMUSG00000046210,Olfr735,OR4Q3
196,ENSMUSG00000070852,Olfr1121,OR12E9
197,ENSMUSG00000073928,Olfr651,OR52H9
198,ENSMUSG00000101391,Olfr1217,OR4C112
199,ENSMUSG00000075166,Olfr1104,OR8I2
200,ENSMUSG00000062121,Olfr149,OR10D1B
201,ENSMUSG00000049864,Olfr250,OR8C10
202,ENSMUSG00000059762,Olfr767,OR6C8
203,ENSMUSG00000073967,Olfr557,OR51D1
204,ENSMUSG00000045030,Olfr1443,OR5B95
205,ENSMUSG00000058270,Olfr25,OR8C9
206,ENSMUSG00000068535,Olfr169,OR2AJ4
207,ENSMUSG00000075065,Olfr1270,OR4B1
