sample_name,exp_date,Count,Geo_Mean,Robust_CV,Median,OR,RTP1S,Gfy,Clgn,Syt1,Syt5,pCI,Total,others,gene-mix,RTP2,Syt_genes
OR5A2_gen1_Rtp1,03152023,10000,191.0,70.5,166.0,1000,100,0.0,0.0,0.0,0.0,0.0,1100,0.0,0.0,,
RhopCI,10052022,10070,62.7,130.0,55.2,0,0,0.0,0.0,,,0.0,0,,0.0,,
Olfr1377,10052022,10033,119.0,88.3,95.1,1000,0,0.0,0.0,,,0.0,1000,,0.0,,
Olfr1377_R,10052022,10000,962.0,100.0,875.0,1000,100,0.0,0.0,,,0.0,1100,,0.0,,
Olfr1377_RGC,10052022,10000,958.0,95.6,873.0,1000,100,150.0,150.0,,,600.0,2000,,0.0,,
Olfr1377_RGC_21MIX,10052022,10000,1358.0,82.4,1397.0,1000,100,150.0,150.0,,,0.0,2000,,600.0,,
Olfr1377_RGC_21minus_Rtbdn,10052022,10000,1324.0,82.9,1366.0,1000,100,150.0,150.0,,,0.0,2000,,600.0,,
Olfr1377_RGC_21minus_Ebf4,10052022,10000,1462.0,82.0,1547.0,1000,100,150.0,150.0,,,0.0,2000,,600.0,,
Olfr1377_RGC_21minus_Lingo2,10052022,10000,1592.0,79.0,1693.0,1000,100,150.0,150.0,,,0.0,2000,,600.0,,
Olfr1377_RGC_21minus_Flrt1,10052022,10000,1459.0,82.2,1535.0,1000,100,150.0,150.0,,,0.0,2000,,600.0,,
Olfr1377_RGC_21minus_Gpx6,10052022,10000,1384.0,78.9,1418.0,1000,100,150.0,150.0,,,0.0,2000,,600.0,,
Olfr1377_RGC_21minus_Jph4,10052022,10000,1316.0,84.1,1348.0,1000,100,150.0,150.0,,,0.0,2000,,600.0,,
Olfr1377_RGC_21minus_Efna3,10052022,10000,1292.0,84.1,1312.0,1000,100,150.0,150.0,,,0.0,2000,,600.0,,
Olfr1377_RGC_21minus_Hspa12a,10052022,10000,1208.0,82.6,1227.0,1000,100,150.0,150.0,,,0.0,2000,,600.0,,
500ngOlfr1377,10052022,10000,118.0,81.3,104.0,500,0,0.0,0.0,,,1500.0,2000,,0.0,,
500ngOlfr1377_R,10052022,10000,1127.0,75.8,1188.0,500,100,0.0,0.0,,,1400.0,2000,,0.0,,
500ngOlfr1377_RGC,10052022,10000,1272.0,73.3,1363.0,500,100,150.0,150.0,,,1100.0,2000,,0.0,,
500ngOlfr1377_RGC_21MIX,10052022,10000,1352.0,76.9,1489.0,500,100,150.0,150.0,,,500.0,2000,,600.0,,
100ngOlfr1377,10052022,10000,91.9,98.8,80.9,100,0,0.0,0.0,,,1900.0,2000,,0.0,,
100ngOlfr1377_R,10052022,10000,645.0,122.0,534.0,100,100,0.0,0.0,,,1800.0,2000,,0.0,,
100ngOlfr1377_RGC,10052022,10000,729.0,130.0,610.0,100,100,150.0,150.0,,,1500.0,2000,,0.0,,
100ngOlfr1377_RGC_21MIX,10052022,10000,489.0,98.5,416.0,100,100,150.0,150.0,,,900.0,2000,,600.0,,
OR51E2_pipette_mix,10052022,3000,3591.0,168.0,3934.0,0,0,0.0,0.0,,,0.0,0,,0.0,,
OR51E2_flicked_mix,10052022,3000,3348.0,158.0,3769.0,0,0,0.0,0.0,,,0.0,0,,0.0,,
RhopCI,03222023,10000,103.0,73.0,96.4,0,0,0.0,0.0,0.0,0.0,2000.0,2000,,0.0,,
Olfr1377,03222023,10000,216.0,61.8,194.0,1000,0,0.0,0.0,0.0,0.0,1000.0,2000,,0.0,,
Olfr1377_RGC,03222023,10000,1838.0,73.0,2080.0,1000,100,150.0,150.0,0.0,0.0,600.0,2000,,0.0,,
Olfr1377_RGC_Syt1_Syt5,03222023,10000,2225.0,72.7,2578.0,1000,100,150.0,150.0,150.0,150.0,300.0,2000,,0.0,,
Olfr1377_RGC_Syt1_Syt5_Syt1_InteractionMix,03222023,10000,2247.0,71.5,2573.0,1000,100,150.0,150.0,150.0,150.0,0.0,2000,,300.0,,
Olfr447,03222023,10000,193.0,73.9,158.0,1000,0,0.0,0.0,0.0,0.0,1000.0,2000,,0.0,,
