,tube,Count,name,Geometric Mean (Comp-PE-A :: null),exp_date,Robust CV (Comp-PE-A :: null),Median (Comp-PE-A :: null)
94,FACS_Tube_017_500ngOlfr1377.fcs,10000,500ngOlfr1377,118,10052022_Lu,81.3,104
95,FACS_Tube_018_500ngOlfr1377_R.fcs,10000,500ngOlfr1377_R,1127,10052022_Lu,75.8,1188
96,FACS_Tube_021_100ngOlfr1377.fcs,10000,100ngOlfr1377,91.9,10052022_Lu,98.8,80.9
97,FACS_Tube_022_100ngOlfr1377_R.fcs,10000,100ngOlfr1377_R,645,10052022_Lu,122,534
98,FACS_Tube_004_Rho pCI.fcs,10035,Rho pCI,63.9,10122022_Lu,119,57.8
99,FACS_Tube_005_Olfr1377.fcs,10044,Olfr1377,118,10122022_Lu,90.2,100
100,FACS_Tube_006_Olfr1377_R.fcs,10068,Olfr1377_R,1085,10122022_Lu,80.4,1076
101,FACS_Tube_004_Rho pCI.fcs,10000,Rho pCI,73.2,10142022_Lu,103,70.6
102,FACS_Tube_005_Olfr1377.fcs,10000,Olfr1377,121,10142022_Lu,74.8,108
103,FACS_Tube_006_Olfr1377_R.fcs,10000,Olfr1377_R,936,10142022_Lu,79.8,916
104,FACS_Tube_004_Rho pCI.fcs,10000,Rho pCI,131,11062022_Lu,68.9,118
105,FACS_Tube_005_Olfr1377.fcs,10000,Olfr1377,155,11062022_Lu,59.5,144
106,FACS_Tube_006_Olfr1377_R.fcs,10041,Olfr1377_R,774,11062022_Lu,84.3,725
