Sample_name,Count,GeoMean,Rcv,Median,exp_date,OR,RTP1S,Gfy,Clgn,Syt1,Syt5,others,tube,Total,pCI,gene-mix,Rho ,Syt_genes,1-Antibody,tubes,total,RTP2
SigFlagRho+R,10000.0,29.8,219.0,30.8,07122022_Lu,100.0,100.0,,,,,,FACS_Tube_010_SigFlagRho_R.fcs,200.0,,,,,,,,
OR56A4_cons,10000.0,40.3,165.0,39.8,07122022_Lu,100.0,,,,,,,FACS_Tube_011_OR56A4_cons.fcs,100.0,,,,,,,,
OR56A4_cons+R,10000.0,44.9,160.0,44.9,07122022_Lu,100.0,100.0,,,,,,FACS_Tube_012_OR56A4_cons_R.fcs,200.0,,,,,,,,
OR4k15_cons,10000.0,501.0,136.0,355.0,07122022_Lu,100.0,,,,,,,FACS_Tube_013_OR4K15_cons.fcs,100.0,,,,,,,,
OR4k15_cons+R,10000.0,788.0,110.0,730.0,07122022_Lu,100.0,100.0,,,,,,FACS_Tube_014_OR4K15_cons_R.fcs,200.0,,,,,,,,
OR2T1_cons,10000.0,1590.0,148.0,1621.0,07122022_Lu,100.0,,,,,,,FACS_Tube_015_OR2T1_cons.fcs,100.0,,,,,,,,
OR2T1_cons+R,10000.0,6941.0,120.0,8775.0,07122022_Lu,100.0,100.0,,,,,,FACS_Tube_016_OR2T1_cons_R.fcs,200.0,,,,,,,,
OR6A2_cons,10000.0,48.1,152.0,46.2,07122022_Lu,100.0,,,,,,,FACS_Tube_017_OR6A2_cons.fcs,100.0,,,,,,,,
OR6A2_cons+R,10000.0,51.5,143.0,51.4,07122022_Lu,100.0,100.0,,,,,,FACS_Tube_018_OR6A2_cons_R.fcs,200.0,,,,,,,,
OR5P3_cons,10000.0,12406.0,124.0,19031.0,07122022_Lu,100.0,,,,,,,FACS_Tube_019_OR5P3_cons.fcs,100.0,,,,,,,,
OR5P3_cons+R,10000.0,12952.0,91.2,17490.0,07122022_Lu,100.0,100.0,,,,,,FACS_Tube_020_OR5P3_cons_R.fcs,200.0,,,,,,,,
OR10J5_cons,10000.0,243.0,130.0,140.0,07122022_Lu,100.0,,,,,,,FACS_Tube_021_OR10J5_cons.fcs,100.0,,,,,,,,
OR10J5_cons+R,10000.0,246.0,134.0,140.0,07122022_Lu,100.0,100.0,,,,,,FACS_Tube_022_OR10J5_cons_R.fcs,200.0,,,,,,,,
OR4D6_chimera,137.0,179.0,99.0,134.0,07122022_Lu,100.0,,,,,,,FACS_Tube_023_OR4D6_chimera.fcs,100.0,,,,,,,,
OR4D6_chimera+R,10000.0,98.2,99.7,84.8,07122022_Lu,100.0,100.0,,,,,,FACS_Tube_024_OR4D6_chimera_R.fcs,200.0,,,,,,,,
RhopCI,10000.0,-655.0,-70.0,-558.0,05112022_Lu,1000.0,,,,,,,FACS_Tube_004_P3_Rho_pCI.fcs,,,,,,,,,
Olfr1377,10000.0,-508.0,-192.0,-412.0,05112022_Lu,1000.0,,,,,,,FACS_Tube_005_P3_Olfr1377.fcs,2000.0,1000.0,,,,,,,
Olfr1377+R,10000.0,1567.0,98.2,1942.0,05112022_Lu,1000.0,100.0,,,,,,FACS_Tube_006_P3_Olfr1377_RTP1S.fcs,2000.0,900.0,,,,,,,
Olfr1377+RGC,10000.0,1822.0,88.1,2480.0,05112022_Lu,1000.0,100.0,450.0,450.0,,,,FACS_Tube_007_P3_Olfr1377_RTP1S_Gfy_Clgn.fcs,2000.0,,,,,,,,
S6,10000.0,612.0,599.0,358.0,05112022_Lu,1000.0,100.0,,,,,,FACS_Tube_008_P3_ORS6_RTP1S.fcs,2000.0,900.0,,,,,,,
S6,10000.0,628.0,673.0,352.0,05112022_Lu,1000.0,100.0,450.0,450.0,,,,FACS_Tube_009_P3_ORS6_RTP1S_Gfy_Clgn.fcs,2000.0,,,,,,,,
OR5A2,10000.0,-666.0,-75.4,-587.0,05112022_Lu,1000.0,100.0,,,,,,FACS_Tube_010_P3_OR5A2_RTP1S.fcs,2000.0,900.0,,,,,,,
OR5A2,10000.0,-696.0,-63.4,-616.0,05112022_Lu,1000.0,100.0,450.0,450.0,,,,FACS_Tube_011_P3_OR5A2_RTP1S_Gfy_Clgn.fcs,2000.0,,,,,,,,
OR6Y1,10000.0,-722.0,-66.5,-644.0,05112022_Lu,1000.0,100.0,,,,,,FACS_Tube_012_P3_OR6Y1_RTP1S.fcs,2000.0,900.0,,,,,,,
OR6Y1,10000.0,-689.0,-68.6,-603.0,05112022_Lu,1000.0,100.0,450.0,450.0,,,,FACS_Tube_013_P3_OR6Y1_RTP1S_Gfy_Clgn.fcs,2000.0,,,,,,,,
OR7D4,10044.0,-681.0,-67.0,-603.0,05112022_Lu,1000.0,100.0,,,,,,FACS_Tube_014_P3_OR7D4_RTP1S.fcs,2000.0,900.0,,,,,,,
